Var1,bboxnumber,abspos1,abspos2,abspos3,agglo_id,relpos1,relpos2,relpos3
non_spine_synapsed_056,1,14290,10952,15384,19401.0,171,260,350
non_spine_synapse_057,1,14342,10805,15459,9155465.0,223,113,425
non_spine_synapse_058,1,14399,10794,15411,9155412.0,280,102,377
non_spine_synapse_062,1,14257,10813,15336,9155412.0,138,121,302
non_spine_synapse_061,1,14241,10805,15359,9155412.0,122,113,325
non_spine_synapse_060,1,14294,10949,15331,9155412.0,175,257,297
non_spine_synapse_059,1,14419,11075,15438,19401.0,300,383,404
non_spine_synapse_054,1,14393,10850,15222,9155412.0,274,158,188
non_spine_synapse_053,1,14586,11040,15276,478041.0,467,348,242
non_spine_synapse_051,1,14560,11054,15289,478041.0,441,362,255
non_spine_synapse_050,1,14459,10880,15303,10398147.0,340,188,269
non_spine_synapse_049,1,14463,11068,15393,7322850.0,344,376,359
non_spine_synapse_047,1,14586,11117,15352,7322850.0,467,425,318
non_spine_synapse_045,1,14354,10995,15334,19401.0,235,303,300
non_spine_synapse_044,1,14367,10978,15327,19401.0,248,286,293
non_spine_synapse_040,1,14232,10945,15437,19401.0,113,253,403
non_spine_synapse_038,1,14284,11059,15426,19401.0,165,367,392
non_spine_synapse_037,1,14275,10979,15394,19401.0,156,287,360
non_spine_synapse_036,1,14249,10939,15423,19401.0,130,247,389
non_spine_synapse_031,1,14516,11010,15395,19401.0,397,318,361
non_spine_synapse_030,1,14366,10917,15226,9155412.0,247,225,192
non_spine_synapse_028,1,14559,10980,15290,478041.0,440,288,256
non_spine_synapse_027,1,14288,11028,15180,9158918.0,169,336,146
non_spine_synapse_026,1,14371,11069,15302,7322850.0,252,377,268
non_spine_synapse_025,1,14587,11116,15326,7322850.0,468,424,292
non_spine_synapse_023,1,14578,11106,15384,7322850.0,459,414,350
non_spine_synapse_020,1,14269,11058,15192,9158918.0,150,366,158
non_spine_synapse_019,1,14275,11022,15197,9158918.0,156,330,163
non_spine_synapse_017,1,14300,11065,15214,142028.0,181,373,180
non_spine_synapse_016,1,14280,11045,15229,142028.0,161,353,195
non_spine_synapse_015,1,14314,11101,15229,10826515.0,195,409,195
non_spine_synapse_014,1,14330,11129,15229,7322850.0,211,437,195
non_spine_synapse_013,1,14308,10933,15269,9155412.0,189,241,235
non_spine_synapse_012,1,14537,10911,15233,10398147.0,418,219,199
non_spine_synapse_011,1,14471,11029,15375,19401.0,352,337,341
non_spine_synapse_009,1,14383,11136,15503,19401.0,264,444,469
non_spine_synapse_008,1,14296,10958,15379,19401.0,177,266,345
non_spine_synapse_005,1,14486,11046,15403,19401.0,367,354,369
non_spine_synapse_004,1,14458,11062,15429,19401.0,339,370,395
non_spine_synapse_002,1,14371,11080,15429,19401.0,252,388,395
explorative_2024-11-07_Cora_Wolter_133,2,18869,5602,4773,3167315.0,325,193,399
explorative_2024-10-16_Valentin_Pinkau_110,2,18920,5790,4579,29599462.0,376,381,205
explorative_2024-11-07_Cora_Wolter_131,2,18936,5790,4564,29599462.0,392,381,190
explorative_2024-10-17_Valentin_Pinkau_130,2,18889,5530,4546,3167315.0,345,121,172
explorative_2024-10-17_Valentin_Pinkau_129,2,18889,5549,4538,3167315.0,345,140,164
explorative_2024-10-17_Valentin_Pinkau_128,2,18997,5602,4865,3167315.0,453,193,491
explorative_2024-10-17_Valentin_Pinkau_123,2,18745,5602,4798,3167315.0,201,193,424
explorative_2024-10-16_Valentin_Pinkau_118,2,18729,5515,4760,3167315.0,185,106,386
explorative_2024-10-16_Valentin_Pinkau_117,2,18711,5596,4673,3167315.0,167,187,299
explorative_2024-10-16_Valentin_Pinkau_116,2,19018,5518,4706,3167315.0,474,109,332
explorative_2024-10-16_Valentin_Pinkau_114,2,18759,5740,4749,3167315.0,215,331,375
explorative_2024-10-16_Valentin_Pinkau_113,2,18829,5763,4678,3167315.0,285,354,304
explorative_2024-10-16_Valentin_Pinkau_111,2,18740,5768,4617,3167315.0,196,359,243
explorative_2024-10-16_Valentin_Pinkau_109,2,18712,5880,4627,28226804.0,168,471,253
explorative_2024-10-16_Valentin_Pinkau_107,2,18678,5848,4496,29653612.0,134,439,122
explorative_2024-09-02_Ali_Karimi_106,2,18645,5630,4570,3167315.0,101,221,196
explorative_2024-09-02_Ali_Karimi_104,2,19014,5636,4757,3167315.0,470,227,383
explorative_2024-08-29_Dominic_Evans_103,2,18800,5675,4713,3167315.0,256,266,339
explorative_2024-08-29_Vera_Broens_102,2,18805,5634,4657,3167315.0,261,225,283
explorative_2024-08-29_Vera_Broens_099,2,18752,5869,4537,28226804.0,208,460,163
explorative_2024-08-29_Vera_Broens_096,2,18713,5852,4587,28226804.0,169,443,213
explorative_2024-08-29_Vera_Broens_094,2,19017,5712,4651,3167315.0,473,303,277
explorative_2024-08-29_Vera_Broens_093,2,18979,5716,4602,3167315.0,435,307,228
explorative_2024-08-29_Vera_Broens_091,2,18792,5703,4599,3167315.0,248,294,225
explorative_2024-08-29_Vera_Broens_090,2,18722,5669,4602,3167315.0,178,260,228
